requested_code,indicator_code,indicator_name,region_code,region_name,year,value,display_value,has_data
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2016,122322321.0,122322321,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2017,121618473.0,121618473,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2018,127418597.0,127418597,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2019,112276273.122,112276273,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2020,115005601.109,115005601,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2021,157575125.0,157575125,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2022,145220000.0,145220000,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2023,137230000.0,137230000,True
A060201,A060201,境内目的地和货源地进出口总额,110000,北京市,2024,137610000.0,137610000,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2016,106973694.0,106973694,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2017,121694799.0,121694799,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2018,141741153.0,141741153,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2019,136369011.408,136369011,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2020,125765697.658,125765698,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2021,156448190.0,156448190,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2022,163580000.0,163580000,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2023,149510000.0,149510000,True
A060201,A060201,境内目的地和货源地进出口总额,120000,天津市,2024,146820000.0,146820000,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2016,74991455.0,74991455,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2017,81535443.0,81535443,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2018,87470745.0,87470745,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2019,94725111.553,94725112,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2020,100082027.432,100082027,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2021,135180730.0,135180730,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2022,139690000.0,139690000,True
A060201,A060201,境内目的地和货源地进出口总额,130000,河北省,2023,148200000.0,148200000,True
